Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-07-11,238.14,241.5,235.8,238.6,7514400,0,0
2019-07-12,239.75,245.38,239.71,245.08,9200500,0,0
2019-07-15,248.0,254.42,244.86,253.5,11000100,0,0
2019-07-16,249.3,253.53,247.93,252.38,8149000,0,0
2019-07-17,255.67,258.31,253.35,254.86,9764700,0,0
2019-07-18,255.05,255.75,251.89,253.54,4764500,0,0
2019-07-19,255.69,259.96,254.62,258.18,7048400,0,0
2019-07-22,258.75,262.15,254.19,255.68,6842400,0,0
2019-07-23,256.71,260.48,254.5,260.17,5023100,0,0
2019-07-24,259.17,266.07,258.16,264.88,11072800,0,0
2019-07-25,233.5,234.5,225.55,228.82,22418300,0,0
2019-07-26,226.92,230.26,222.25,228.04,10027700,0,0
2019-07-29,227.09,235.94,226.03,235.77,9273300,0,0
2019-07-30,232.9,243.36,232.18,242.26,8109000,0,0
2019-07-31,243.0,246.68,236.65,241.61,9178200,0,0
2019-08-01,242.65,244.51,231.77,233.85,8259500,0,0
2019-08-02,231.35,236.27,229.23,234.34,6136500,0,0
2019-08-05,229.6,231.37,225.78,228.32,7028300,0,0
2019-08-06,231.88,232.5,225.75,230.75,5564200,0,0
2019-08-07,226.5,233.57,225.8,233.42,4776500,0,0
2019-08-08,234.45,239.8,232.65,238.3,5274300,0,0
2019-08-09,236.05,238.96,233.81,235.01,3898200,0,0
2019-08-12,232.99,235.77,228.75,229.01,4663900,0,0
2019-08-13,228.81,236.0,227.55,235.0,4848100,0,0
2019-08-14,231.21,231.5,216.69,219.62,9562600,0,0
2019-08-15,220.86,221.56,211.55,215.64,8159600,0,0
2019-08-16,216.66,222.24,216.02,219.94,5098500,0,0
2019-08-19,224.21,227.83,221.7,226.83,5309600,0,0
2019-08-20,227.62,229.09,224.54,225.86,4125200,0,0
2019-08-21,222.01,223.22,217.6,220.83,7794300,0,0
2019-08-22,222.8,225.4,218.22,222.15,6559000,0,0
2019-08-23,219.97,221.17,211.0,211.4,8538600,0,0
2019-08-26,213.6,215.02,211.54,215.0,5051900,0,0
2019-08-27,215.74,218.8,212.03,214.08,5416200,0,0
2019-08-28,213.69,217.25,212.31,215.59,3225500,0,0
2019-08-29,219.0,223.4,218.0,221.71,5179500,0,0
2019-08-30,229.15,232.44,224.21,225.61,9320600,0,0
2019-09-03,224.08,228.95,223.16,225.01,5354100,0,0
2019-09-04,226.89,228.46,219.21,220.68,5761000,0,0
2019-09-05,222.5,229.8,220.85,229.58,7395300,0,0
2019-09-06,227.2,229.64,225.17,227.45,4189400,0,0
2019-09-09,230.0,233.76,229.23,231.79,4802700,0,0
2019-09-10,230.8,235.54,228.94,235.54,4883700,0,0
2019-09-11,237.38,248.17,236.0,247.1,10042800,0,0
2019-09-12,247.7,253.5,244.4,245.87,8581200,0,0
2019-09-13,246.96,248.45,244.87,245.2,5313100,0,0
2019-09-16,246.0,247.43,241.17,242.81,4728100,0,0
2019-09-17,242.47,245.6,240.37,244.79,3865400,0,0
2019-09-18,245.0,248.17,242.37,243.49,4170200,0,0
2019-09-19,246.0,247.94,244.84,246.6,4795800,0,0
2019-09-20,246.49,246.95,238.16,240.62,6353000,0,0
2019-09-23,240.0,245.18,239.22,241.23,4340200,0,0
2019-09-24,241.52,241.99,222.61,223.21,12891500,0,0
2019-09-25,224.56,228.98,218.36,228.7,9427100,0,0
